                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2766,                  1.253,                 1.3978,                0.59934,                0.45572,                0.47078,                 0.1941,                 1.9644,                 1.8085,                 1.9674,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.4483,                 1.4399,                 1.4763,                0.47026,                0.49302,                0.42867,                0.17797,                 1.9883,                 1.8795,                 2.0103,               0.001208,               0.001208,               0.001208
                     83,                 1.2883,                 1.1594,                  1.382,                0.51299,                0.44884,                0.44626,                0.18178,                  2.034,                 1.9132,                  2.031,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.2683,                 1.1454,                 1.3858,                0.51353,                 0.4814,                 0.4631,                0.19043,                 2.0787,                 1.8772,                 2.0817,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.3551,                 1.1652,                  1.461,                0.50408,                0.52715,                0.47054,                0.19409,                   2.05,                 1.8742,                 2.0627,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.3079,                 1.1342,                 1.3913,                0.51907,                0.44186,                0.42926,                0.18379,                 2.0668,                 1.9705,                  2.078,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.2712,                 1.0852,                 1.3734,                0.51253,                0.44884,                0.43427,                0.18447,                 2.0718,                  1.939,                 2.0801,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.2796,                 1.0934,                 1.3448,                0.54245,                0.48605,                0.45434,                0.18287,                 2.1628,                 1.8569,                 2.1667,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.2805,                 1.1335,                 1.3762,                0.53631,                0.50233,                0.45699,                0.18254,                 2.0876,                 1.8437,                 2.0815,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.2343,                  1.112,                  1.372,                0.55714,                0.47442,                 0.4772,                0.20083,                 2.0581,                 1.7879,                 2.0513,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.2576,                 1.0851,                 1.3496,                0.57342,                0.44884,                0.46118,                0.19449,                 2.0289,                 1.8702,                 2.0379,              0.0011189,              0.0011189,              0.0011189
                     92,                 1.2443,                 1.0653,                 1.3513,                0.48602,                0.49535,                0.46026,                0.20395,                 2.0175,                 1.9551,                 2.0266,               0.001109,               0.001109,               0.001109
                     93,                 1.2269,                 1.0069,                 1.3485,                0.54385,                0.45116,                0.45947,                0.19855,                 2.0537,                 1.9813,                 2.0703,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.2195,                 1.0209,                  1.324,                0.55087,                0.44498,                0.46007,                0.19784,                 2.0292,                 1.9321,                 2.0816,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.1948,                 1.0927,                 1.3603,                0.51423,                0.46744,                 0.4427,                0.18591,                 2.0185,                 2.0928,                 2.0773,              0.0010793,              0.0010793,              0.0010793
